,Sign,Type
110,./lenet_images/-0zd9UVk577mVT2hpqPEEQ_1.jpg,other-sign
111,./lenet_images/-0zd9UVk577mVT2hpqPEEQ_2.jpg,other-sign
112,./lenet_images/-0zd9UVk577mVT2hpqPEEQ_3.jpg,other-sign
113,./lenet_images/-1AzkTZK8uCJPpX6JxX9ZA_0.jpg,other-sign
114,./lenet_images/-1AzkTZK8uCJPpX6JxX9ZA_1.jpg,other-sign
115,./lenet_images/-1AzkTZK8uCJPpX6JxX9ZA_2.jpg,other-sign
116,./lenet_images/-1AzkTZK8uCJPpX6JxX9ZA_3.jpg,other-sign
117,./lenet_images/-1AzkTZK8uCJPpX6JxX9ZA_4.jpg,other-sign
118,./lenet_images/-1CI3lnupBv6C18BvKbhDg_0.jpg,other-sign
119,./lenet_images/-1CI3lnupBv6C18BvKbhDg_1.jpg,other-sign
120,./lenet_images/-1CI3lnupBv6C18BvKbhDg_2.jpg,complementary--distance--g1
121,./lenet_images/-1CI3lnupBv6C18BvKbhDg_3.jpg,other-sign
122,./lenet_images/-1CI3lnupBv6C18BvKbhDg_4.jpg,warning--slippery-road-surface--g1
123,./lenet_images/-1CI3lnupBv6C18BvKbhDg_5.jpg,other-sign
124,./lenet_images/-1CI3lnupBv6C18BvKbhDg_6.jpg,warning--curve-left--g1
125,./lenet_images/-1CI3lnupBv6C18BvKbhDg_7.jpg,other-sign
126,./lenet_images/-1CI3lnupBv6C18BvKbhDg_8.jpg,other-sign
127,./lenet_images/-1dYvHaY52PTrihdjPDPQg_0.jpg,regulatory--no-stopping--g15
128,./lenet_images/-1dYvHaY52PTrihdjPDPQg_1.jpg,information--parking--g1
129,./lenet_images/-1dYvHaY52PTrihdjPDPQg_2.jpg,regulatory--no-stopping--g15
130,./lenet_images/-1dYvHaY52PTrihdjPDPQg_3.jpg,other-sign
131,./lenet_images/-1dYvHaY52PTrihdjPDPQg_4.jpg,complementary--go-left--g1
132,./lenet_images/-1dYvHaY52PTrihdjPDPQg_5.jpg,information--parking--g1
133,./lenet_images/-1dYvHaY52PTrihdjPDPQg_6.jpg,other-sign
134,./lenet_images/-1dYvHaY52PTrihdjPDPQg_7.jpg,other-sign
135,./lenet_images/-1exc-EDWIlSZ0JN_OTdkw_0.jpg,other-sign
136,./lenet_images/-1exc-EDWIlSZ0JN_OTdkw_1.jpg,other-sign
137,./lenet_images/-1gayojvR3hJXu3Ifj8g1A_0.jpg,information--tram-bus-stop--g2
138,./lenet_images/-1gayojvR3hJXu3Ifj8g1A_1.jpg,information--tram-bus-stop--g2
139,./lenet_images/-1gayojvR3hJXu3Ifj8g1A_2.jpg,warning--crossroads--g1
140,./lenet_images/-1gayojvR3hJXu3Ifj8g1A_3.jpg,other-sign
141,./lenet_images/-1gayojvR3hJXu3Ifj8g1A_4.jpg,other-sign
142,./lenet_images/-1NHElxDhAKyR30lRPDFZA_0.jpg,regulatory--no-overtaking--g2
143,./lenet_images/-1NHElxDhAKyR30lRPDFZA_1.jpg,other-sign
144,./lenet_images/-1ST1q-1aJcO8r0DzwdPrQ_0.jpg,other-sign
145,./lenet_images/-1ST1q-1aJcO8r0DzwdPrQ_1.jpg,warning--railroad-crossing-with-barriers--g2
146,./lenet_images/-1ZXiNNunp0TA-puToNbeQ_0.jpg,regulatory--yield--g1
147,./lenet_images/-1ZXiNNunp0TA-puToNbeQ_1.jpg,regulatory--stop--g1
148,./lenet_images/-1ZXiNNunp0TA-puToNbeQ_2.jpg,other-sign
149,./lenet_images/-1ZXiNNunp0TA-puToNbeQ_3.jpg,other-sign
150,./lenet_images/-1ZXiNNunp0TA-puToNbeQ_4.jpg,other-sign
151,./lenet_images/-21_2ziCd0eFiepxxbF6jw_0.jpg,complementary--trucks-turn-right--g1
152,./lenet_images/-21_2ziCd0eFiepxxbF6jw_1.jpg,information--parking--g1
153,./lenet_images/-21_2ziCd0eFiepxxbF6jw_2.jpg,regulatory--maximum-speed-limit-30--g1
154,./lenet_images/-21_2ziCd0eFiepxxbF6jw_3.jpg,regulatory--priority-road--g4
155,./lenet_images/-21_2ziCd0eFiepxxbF6jw_4.jpg,regulatory--yield--g1
156,./lenet_images/-21_2ziCd0eFiepxxbF6jw_5.jpg,regulatory--pedestrians-only--g1
157,./lenet_images/-21_2ziCd0eFiepxxbF6jw_6.jpg,other-sign
158,./lenet_images/-21_2ziCd0eFiepxxbF6jw_7.jpg,other-sign
159,./lenet_images/-21_2ziCd0eFiepxxbF6jw_8.jpg,other-sign
160,./lenet_images/-21_2ziCd0eFiepxxbF6jw_9.jpg,other-sign
161,./lenet_images/-21_2ziCd0eFiepxxbF6jw_10.jpg,other-sign
162,./lenet_images/-21_2ziCd0eFiepxxbF6jw_11.jpg,other-sign
163,./lenet_images/-26BY1bLHmdsLd1uMe80Ew_0.jpg,warning--pedestrians-crossing--g9
164,./lenet_images/-26BY1bLHmdsLd1uMe80Ew_1.jpg,other-sign
165,./lenet_images/-26BY1bLHmdsLd1uMe80Ew_2.jpg,other-sign
166,./lenet_images/-26BY1bLHmdsLd1uMe80Ew_3.jpg,other-sign
167,./lenet_images/-26BY1bLHmdsLd1uMe80Ew_4.jpg,other-sign
168,./lenet_images/-26BY1bLHmdsLd1uMe80Ew_5.jpg,other-sign
169,./lenet_images/-277uCsezs1tijmyGGcAjw_0.jpg,other-sign
170,./lenet_images/-277uCsezs1tijmyGGcAjw_1.jpg,other-sign
171,./lenet_images/-2hCYfmypeQrYslJWfTbEw_0.jpg,warning--junction-with-a-side-road-acute-right--g1
172,./lenet_images/-2hCYfmypeQrYslJWfTbEw_1.jpg,other-sign
173,./lenet_images/-2hCYfmypeQrYslJWfTbEw_2.jpg,other-sign
174,./lenet_images/-2Hnw2nSUbYDcXRw_xQbjQ_0.jpg,regulatory--end-of-maximum-speed-limit-30--g2
175,./lenet_images/-2Hnw2nSUbYDcXRw_xQbjQ_1.jpg,other-sign
176,./lenet_images/-2Iohl7LoaB-IpCodYjYcA_0.jpg,warning--crossroads--g3
177,./lenet_images/-2Iohl7LoaB-IpCodYjYcA_1.jpg,warning--crossroads--g3
178,./lenet_images/-2Iohl7LoaB-IpCodYjYcA_2.jpg,other-sign
179,./lenet_images/-2Iohl7LoaB-IpCodYjYcA_3.jpg,other-sign
180,./lenet_images/-2Iohl7LoaB-IpCodYjYcA_4.jpg,other-sign
181,./lenet_images/-2Iohl7LoaB-IpCodYjYcA_5.jpg,other-sign
182,./lenet_images/-2JC6F1waQteIKdf7RxC7w_0.jpg,other-sign
183,./lenet_images/-2JC6F1waQteIKdf7RxC7w_1.jpg,other-sign
184,./lenet_images/-2jlyTTW_pjyx5x13ezNyQ_0.jpg,information--end-of-living-street--g1
185,./lenet_images/-2mTLsXDXXT-S_c4qQPTFw_0.jpg,other-sign
186,./lenet_images/-2mTLsXDXXT-S_c4qQPTFw_1.jpg,other-sign
187,./lenet_images/-2qCrfAf5Zc8Ld4cyI_rQg_0.jpg,information--road-bump--g1
188,./lenet_images/-2qCrfAf5Zc8Ld4cyI_rQg_1.jpg,other-sign
189,./lenet_images/-2TApqnWVVqLPAKHVe0PFA_0.jpg,warning--height-restriction--g2
190,./lenet_images/-2TApqnWVVqLPAKHVe0PFA_1.jpg,warning--junction-with-a-side-road-acute-right--g1
191,./lenet_images/-2TApqnWVVqLPAKHVe0PFA_2.jpg,other-sign
192,./lenet_images/-2ztLeqgX0gCgnELl3vidA_0.jpg,other-sign
193,./lenet_images/-2ztLeqgX0gCgnELl3vidA_1.jpg,complementary--obstacle-delineator--g2
194,./lenet_images/-2ztLeqgX0gCgnELl3vidA_2.jpg,other-sign
195,./lenet_images/-30dCn_vluz0D6Z5GGxDPA_0.jpg,other-sign
196,./lenet_images/-34oA3hYB9-5n-nyGjDcTg_0.jpg,warning--double-curve-first-left--g2
197,./lenet_images/-34oA3hYB9-5n-nyGjDcTg_1.jpg,other-sign
198,./lenet_images/-34oA3hYB9-5n-nyGjDcTg_2.jpg,regulatory--no-overtaking--g5
199,./lenet_images/-34oA3hYB9-5n-nyGjDcTg_3.jpg,information--food--g2
200,./lenet_images/-34oA3hYB9-5n-nyGjDcTg_4.jpg,other-sign
201,./lenet_images/-34oA3hYB9-5n-nyGjDcTg_5.jpg,other-sign
202,./lenet_images/-34oA3hYB9-5n-nyGjDcTg_6.jpg,other-sign
203,./lenet_images/-34oA3hYB9-5n-nyGjDcTg_7.jpg,regulatory--one-way-straight--g1
204,./lenet_images/-34oA3hYB9-5n-nyGjDcTg_8.jpg,other-sign
205,./lenet_images/-34oA3hYB9-5n-nyGjDcTg_9.jpg,other-sign
206,./lenet_images/-36H9lGvcCA42LkOrmm5xQ_0.jpg,other-sign
207,./lenet_images/-36H9lGvcCA42LkOrmm5xQ_1.jpg,other-sign
208,./lenet_images/-36H9lGvcCA42LkOrmm5xQ_2.jpg,warning--divided-highway-ends--g2
209,./lenet_images/-36H9lGvcCA42LkOrmm5xQ_3.jpg,other-sign
210,./lenet_images/-36H9lGvcCA42LkOrmm5xQ_4.jpg,other-sign
211,./lenet_images/-36H9lGvcCA42LkOrmm5xQ_5.jpg,other-sign
212,./lenet_images/-3heY6kZhu6sy-09K82YsQ_0.jpg,regulatory--keep-right--g1
213,./lenet_images/-3Hq2Xdka7kZsAoANWlQgQ_0.jpg,other-sign
214,./lenet_images/-3Hq2Xdka7kZsAoANWlQgQ_1.jpg,other-sign
215,./lenet_images/-3vUvRIrj_BvNn9mBS9gHg_0.jpg,regulatory--pedestrians-only--g1
216,./lenet_images/-3vUvRIrj_BvNn9mBS9gHg_1.jpg,other-sign
217,./lenet_images/-3vUvRIrj_BvNn9mBS9gHg_2.jpg,regulatory--pedestrians-only--g1
218,./lenet_images/-3vUvRIrj_BvNn9mBS9gHg_3.jpg,information--parking--g1
219,./lenet_images/-3vUvRIrj_BvNn9mBS9gHg_4.jpg,regulatory--turn-right--g1
220,./lenet_images/-3vUvRIrj_BvNn9mBS9gHg_5.jpg,regulatory--yield--g1
221,./lenet_images/-3vUvRIrj_BvNn9mBS9gHg_6.jpg,other-sign
222,./lenet_images/-3vUvRIrj_BvNn9mBS9gHg_7.jpg,other-sign
223,./lenet_images/-3vUvRIrj_BvNn9mBS9gHg_8.jpg,other-sign
224,./lenet_images/-3vUvRIrj_BvNn9mBS9gHg_9.jpg,regulatory--no-entry--g1
225,./lenet_images/-3vUvRIrj_BvNn9mBS9gHg_10.jpg,other-sign
226,./lenet_images/-3WWvMk6i1YgKC9ECG2HEA_0.jpg,other-sign
227,./lenet_images/-3WWvMk6i1YgKC9ECG2HEA_1.jpg,other-sign
228,./lenet_images/-3WWvMk6i1YgKC9ECG2HEA_2.jpg,other-sign
229,./lenet_images/-3WWvMk6i1YgKC9ECG2HEA_3.jpg,other-sign
230,./lenet_images/-3WWvMk6i1YgKC9ECG2HEA_4.jpg,other-sign
231,./lenet_images/-3WWvMk6i1YgKC9ECG2HEA_5.jpg,other-sign
232,./lenet_images/-3WWvMk6i1YgKC9ECG2HEA_6.jpg,other-sign
233,./lenet_images/-3xD_neNfZp1TI_3_xZgmg_0.jpg,warning--pedestrians-crossing--g4
234,./lenet_images/-3xD_neNfZp1TI_3_xZgmg_1.jpg,other-sign
235,./lenet_images/-3xD_neNfZp1TI_3_xZgmg_2.jpg,other-sign
236,./lenet_images/-3xD_neNfZp1TI_3_xZgmg_3.jpg,other-sign
237,./lenet_images/-3xq-uJxV3XuDWwj0IftCg_0.jpg,other-sign
238,./lenet_images/-3xq-uJxV3XuDWwj0IftCg_1.jpg,other-sign
239,./lenet_images/-3_JRAZp1h28HLxBMx7RYg_0.jpg,other-sign
240,./lenet_images/-3_JRAZp1h28HLxBMx7RYg_1.jpg,other-sign
241,./lenet_images/-49UqFOfINp07mC2tRO2oA_0.jpg,other-sign
242,./lenet_images/-49UqFOfINp07mC2tRO2oA_1.jpg,complementary--chevron-left--g1
243,./lenet_images/-49UqFOfINp07mC2tRO2oA_2.jpg,complementary--chevron-left--g1
244,./lenet_images/-49UqFOfINp07mC2tRO2oA_3.jpg,other-sign
245,./lenet_images/-49UqFOfINp07mC2tRO2oA_4.jpg,complementary--chevron-left--g1
246,./lenet_images/-4gtcRinmMXt0PgT-ROzMg_0.jpg,regulatory--stop--g1
247,./lenet_images/-4gtcRinmMXt0PgT-ROzMg_1.jpg,regulatory--no-parking-or-no-stopping--g3
248,./lenet_images/-4gtcRinmMXt0PgT-ROzMg_2.jpg,other-sign
249,./lenet_images/-4gtcRinmMXt0PgT-ROzMg_3.jpg,other-sign
250,./lenet_images/-4gtcRinmMXt0PgT-ROzMg_4.jpg,regulatory--keep-right--g4
251,./lenet_images/-4gtcRinmMXt0PgT-ROzMg_5.jpg,other-sign
252,./lenet_images/-4JmB_89NpVL45NYCFuVJg_0.jpg,regulatory--yield--g1
253,./lenet_images/-4JmB_89NpVL45NYCFuVJg_1.jpg,warning--roundabout--g1
254,./lenet_images/-4JmB_89NpVL45NYCFuVJg_2.jpg,regulatory--turn-right--g1
255,./lenet_images/-4JmB_89NpVL45NYCFuVJg_3.jpg,regulatory--no-heavy-goods-vehicles--g1
256,./lenet_images/-4JmB_89NpVL45NYCFuVJg_4.jpg,regulatory--keep-right--g1
257,./lenet_images/-4JmB_89NpVL45NYCFuVJg_5.jpg,other-sign
258,./lenet_images/-4JmB_89NpVL45NYCFuVJg_6.jpg,other-sign
259,./lenet_images/-4Kw4AJqOzZG8q5le7bGlQ_0.jpg,regulatory--stop--g1
260,./lenet_images/-4Kw4AJqOzZG8q5le7bGlQ_1.jpg,other-sign
261,./lenet_images/-4Kw4AJqOzZG8q5le7bGlQ_2.jpg,regulatory--maximum-speed-limit-60--g1
262,./lenet_images/-4O4HrtD3sIcgudHF7yr0w_0.jpg,warning--curve-left--g2
263,./lenet_images/-4O4HrtD3sIcgudHF7yr0w_1.jpg,complementary--maximum-speed-limit-70--g1
264,./lenet_images/-4oC5IYfYO0_PP9151ALqg_0.jpg,warning--railroad-crossing-with-barriers--g1
265,./lenet_images/-4oC5IYfYO0_PP9151ALqg_1.jpg,other-sign
266,./lenet_images/-4oC5IYfYO0_PP9151ALqg_2.jpg,other-sign
267,./lenet_images/-4oC5IYfYO0_PP9151ALqg_3.jpg,other-sign
268,./lenet_images/-4oC5IYfYO0_PP9151ALqg_4.jpg,regulatory--maximum-speed-limit-40--g1
269,./lenet_images/-4oC5IYfYO0_PP9151ALqg_5.jpg,other-sign
270,./lenet_images/-4O_WLX2axMtPxtjlC5BXQ_0.jpg,warning--road-widens--g1
271,./lenet_images/-4O_WLX2axMtPxtjlC5BXQ_1.jpg,other-sign
272,./lenet_images/-4qLd1q6_tmJeju_7Adg3Q_0.jpg,other-sign
273,./lenet_images/-4qLd1q6_tmJeju_7Adg3Q_1.jpg,other-sign
274,./lenet_images/-4qLd1q6_tmJeju_7Adg3Q_2.jpg,other-sign
275,./lenet_images/-4ymY5COQqgS6hzFD06Urw_0.jpg,complementary--chevron-right--g1
276,./lenet_images/-4zB02rM2v8YXtcvXOPykg_0.jpg,other-sign
277,./lenet_images/-4zB02rM2v8YXtcvXOPykg_1.jpg,warning--road-bump--g1
278,./lenet_images/-4zB02rM2v8YXtcvXOPykg_2.jpg,warning--uneven-road--g6
279,./lenet_images/-4zB02rM2v8YXtcvXOPykg_3.jpg,other-sign
280,./lenet_images/-51-bpAblCPlDTamtFZLQw_0.jpg,other-sign
281,./lenet_images/-53oGBqSn4kQqgrDwnWPvw_0.jpg,regulatory--stop--g1
282,./lenet_images/-5gX3Y-mhtHCPsfAV6pYnw_0.jpg,other-sign
283,./lenet_images/-5ihylTtxA3-CGKOhyhDmQ_0.jpg,regulatory--maximum-speed-limit-50--g1
284,./lenet_images/-5ihylTtxA3-CGKOhyhDmQ_1.jpg,regulatory--maximum-speed-limit-50--g1
285,./lenet_images/-5ihylTtxA3-CGKOhyhDmQ_2.jpg,other-sign
286,./lenet_images/-5ihylTtxA3-CGKOhyhDmQ_3.jpg,regulatory--no-parking--g5
287,./lenet_images/-5ihylTtxA3-CGKOhyhDmQ_4.jpg,regulatory--turn-left--g3
288,./lenet_images/-5KDcOth7ZSmpeFMNMGC_w_0.jpg,other-sign
289,./lenet_images/-5KDcOth7ZSmpeFMNMGC_w_1.jpg,regulatory--no-parking--g5
290,./lenet_images/-5KDcOth7ZSmpeFMNMGC_w_2.jpg,other-sign
291,./lenet_images/-5KDcOth7ZSmpeFMNMGC_w_3.jpg,other-sign
292,./lenet_images/-5Kvk-yPVS5Hb3yXkrWz8g_0.jpg,other-sign
293,./lenet_images/-5Kvk-yPVS5Hb3yXkrWz8g_1.jpg,other-sign
294,./lenet_images/-5Kvk-yPVS5Hb3yXkrWz8g_2.jpg,other-sign
295,./lenet_images/-5Kvk-yPVS5Hb3yXkrWz8g_3.jpg,other-sign
296,./lenet_images/-5nDzLhB4nT9VNVzpLgEOw_0.jpg,regulatory--stop--g1
297,./lenet_images/-5nDzLhB4nT9VNVzpLgEOw_1.jpg,warning--railroad-crossing-without-barriers--g1
298,./lenet_images/-5nDzLhB4nT9VNVzpLgEOw_2.jpg,regulatory--height-limit--g1
299,./lenet_images/-5nDzLhB4nT9VNVzpLgEOw_3.jpg,other-sign
300,./lenet_images/-5nDzLhB4nT9VNVzpLgEOw_4.jpg,other-sign
301,./lenet_images/-6ie-JRSyamuIYcRWTWZVw_0.jpg,other-sign
302,./lenet_images/-6ie-JRSyamuIYcRWTWZVw_1.jpg,other-sign
303,./lenet_images/-6J_2YdS3AQxdTCXSigFSQ_0.jpg,warning--road-bump--g1
304,./lenet_images/-6tqApnOi1XwmFswdZVxmQ_0.jpg,other-sign
305,./lenet_images/-6tqApnOi1XwmFswdZVxmQ_1.jpg,other-sign
306,./lenet_images/-6x1MtfmYzL-4Le88RwwJQ_0.jpg,other-sign
307,./lenet_images/-6x1MtfmYzL-4Le88RwwJQ_1.jpg,other-sign
